school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
4378,Whalan Public School,2770,Whalan ,Macquarie Park,Mount Druitt,Supporting students with mild intellectual disability (IM)
4378,Whalan Public School,2770,Whalan ,Macquarie Park,Mount Druitt,Supporting students with moderate intellectual disability (IO)
4395,Mount Warrigal Public School,2528,Warilla ,Wagga Wagga,Lake Illawarra South,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4395,Mount Warrigal Public School,2528,Warilla ,Wagga Wagga,Lake Illawarra South,Supporting students with disability prior to school (EI Early Intervention)
4395,Mount Warrigal Public School,2528,Warilla ,Wagga Wagga,Lake Illawarra South,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4403,Bradbury Public School,2560,Bradbury ,Ultimo,Campbelltown,Supporting students with autism (Au)
4404,Narranga Public School,2450,Coffs Harbour ,Tamworth,Coffs Harbour,Supporting students with disability prior to school (EI Early Intervention)
4405,Beresford Road Public School,2145,Greystanes ,Macquarie Park,Girraween,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4408,Lethbridge Park Public School,2770,Lethbridge Park,Macquarie Park,Mount Druitt,Supporting students with autism (Au)
4408,Lethbridge Park Public School,2770,Lethbridge Park,Macquarie Park,Mount Druitt,Supporting students with mild intellectual disability (IM)
4417,Winston Hills Public School,2153,Winston Hills ,Macquarie Park,The Hills,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4417,Winston Hills Public School,2153,Winston Hills ,Macquarie Park,The Hills,Supporting students with autism (Au)
4417,Winston Hills Public School,2153,Winston Hills ,Macquarie Park,The Hills,Supporting students with mild intellectual disability (IM)
4426,Killarney Vale Public School,2261,Killarney Vale ,Macquarie Park,Tuggerah Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4426,Killarney Vale Public School,2261,Killarney Vale ,Macquarie Park,Tuggerah Lakes,Supporting students with mental health issues (ED Emotional Disturbance)
4426,Killarney Vale Public School,2261,Killarney Vale ,Macquarie Park,Tuggerah Lakes,Supporting students with disability prior to school (EI Early Intervention)
4449,Madang Avenue Public School,2770,Whalan,Macquarie Park,Mount Druitt,Supporting students with autism (Au)
4449,Madang Avenue Public School,2770,Whalan,Macquarie Park,Mount Druitt,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4453,Blackett Public School,2770,Blackett ,Macquarie Park,Mount Druitt,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4453,Blackett Public School,2770,Blackett ,Macquarie Park,Mount Druitt,Supporting students with mild intellectual disability (IM)
4453,Blackett Public School,2770,Blackett ,Macquarie Park,Mount Druitt,Supporting students with moderate intellectual disability (IO)
4464,Sanctuary Point Public School,2540,Sanctuary Point ,Wagga Wagga,South Coast,Supporting students with mild intellectual disability (IM)
4464,Sanctuary Point Public School,2540,Sanctuary Point ,Wagga Wagga,South Coast,Supporting students with autism (Au)
4464,Sanctuary Point Public School,2540,Sanctuary Point ,Wagga Wagga,South Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4464,Sanctuary Point Public School,2540,Sanctuary Point ,Wagga Wagga,South Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4501,Barrack Heights Public School,2528,Barrack Heights,Wagga Wagga,Lake Illawarra South,Supporting students with autism (Au)
4501,Barrack Heights Public School,2528,Barrack Heights,Wagga Wagga,Lake Illawarra South,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4504,Crawford Public School,2767,Doonside ,Macquarie Park,Quakers Hill,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4504,Crawford Public School,2767,Doonside ,Macquarie Park,Quakers Hill,Supporting students with mild intellectual disability (IM)
4504,Crawford Public School,2767,Doonside ,Macquarie Park,Quakers Hill,Supporting students with moderate intellectual disability (IO)
4508,Valley View Public School,2250,Wyoming ,Macquarie Park,Central Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4521,Metford Public School,2323,Metford,Tamworth,Maitland,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4525,Braddock Public School,2749,Cranebrook ,Macquarie Park,Cambridge Park,Supporting students with mental health issues (ED Emotional Disturbance)
4525,Braddock Public School,2749,Cranebrook ,Macquarie Park,Cambridge Park,Supporting students with mild intellectual disability (IM)
4539,Thomas Acres Public School,2560,Ambarvale ,Ultimo,Camden,Supporting students with moderate intellectual disability (IO)
4539,Thomas Acres Public School,2560,Ambarvale ,Ultimo,Camden,Supporting students with autism (Au)
4539,Thomas Acres Public School,2560,Ambarvale ,Ultimo,Camden,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4553,Wiley Park Public School,2195,Wiley Park ,Ultimo,Beverly Hills,Supporting students with autism (Au)
4553,Wiley Park Public School,2195,Wiley Park ,Ultimo,Beverly Hills,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4553,Wiley Park Public School,2195,Wiley Park ,Ultimo,Beverly Hills,Supporting students with mild intellectual disability (IM)
4554,Prairievale Public School,2176,Bossley Park ,Ultimo,Cowpasture,Supporting students with autism (Au)
4561,Rutherford Public School,2320,Rutherford,Tamworth,Maitland,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4562,Sunshine Bay Public School,2536,Batehaven ,Wagga Wagga,Batemans Bay,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4563,William Stimson Public School,2164,Wetherill Park ,Ultimo,Cowpasture,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4585,Bligh Park Public School,2756,Bligh Park,Macquarie Park,Windsor,Supporting students with mental health issues (ED Emotional Disturbance)
4585,Bligh Park Public School,2756,Bligh Park,Macquarie Park,Windsor,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4585,Bligh Park Public School,2756,Bligh Park,Macquarie Park,Windsor,Supporting students with mild intellectual disability (IM)
4591,Glenmore Park Public School,2745,Glenmore Park ,Ultimo,Penrith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4591,Glenmore Park Public School,2745,Glenmore Park ,Ultimo,Penrith,Supporting students with autism (Au)
4594,Bonnyrigg Heights Public School,2177,Bonnyrigg Heights ,Ultimo,Cowpasture,Supporting students with moderate intellectual disability (IO)
4594,Bonnyrigg Heights Public School,2177,Bonnyrigg Heights ,Ultimo,Cowpasture,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4594,Bonnyrigg Heights Public School,2177,Bonnyrigg Heights ,Ultimo,Cowpasture,Supporting students with severe intellectual disability (IS)
4597,Mount Annan Public School,2567,Mount Annan ,Ultimo,Macarthur,Supporting students with moderate intellectual disability (IO)
4616,Buninyong Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4616,Buninyong Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with moderate intellectual disability (IO)
4618,North Nowra Public School,2541,North Nowra,Wagga Wagga,Shoalhaven,Supporting students with autism (Au)
4618,North Nowra Public School,2541,North Nowra,Wagga Wagga,Shoalhaven,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4622,Claremont Meadows Public School,2747,Claremont Meadows,Macquarie Park,Cambridge Park,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4634,Dalmeny Public School,2170,Prestons ,Ultimo,Glenfield,Supporting students with autism (Au)
4634,Dalmeny Public School,2170,Prestons ,Ultimo,Glenfield,Supporting students with moderate intellectual disability (IO)
4634,Dalmeny Public School,2170,Prestons ,Ultimo,Glenfield,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4650,Wilton Public School,2571,Wilton,Ultimo,Wollondilly,Supporting students with autism (Au)
4650,Wilton Public School,2571,Wilton,Ultimo,Wollondilly,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4650,Wilton Public School,2571,Wilton,Ultimo,Wollondilly,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4653,Riverbank Public School,2769,The Ponds,Macquarie Park,The Ponds,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4655,Victoria Avenue Public School,2138,Concord West,Ultimo,Strathfield,Supporting students with autism (Au)
4655,Victoria Avenue Public School,2138,Concord West,Ultimo,Strathfield,Supporting students who are deaf or hearing impaired (H)
4655,Victoria Avenue Public School,2138,Concord West,Ultimo,Strathfield,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5246,Bankstown South Infants School,2200,Bankstown ,Ultimo,Bankstown,Supporting students with disability prior to school (EI Early Intervention)
5511,Newcastle Senior School,2298,Waratah,Tamworth,Newcastle,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5511,Newcastle Senior School,2298,Waratah,Tamworth,Newcastle,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5538,Arndell School,2113,North Ryde ,Macquarie Park,Ryde,Supporting students with mental health issues (ED Emotional Disturbance)
5538,Arndell School,2113,North Ryde ,Macquarie Park,Ryde,Supporting students with mental health issues (ED Emotional Disturbance)
5550,Willans Hill School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5550,Willans Hill School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with autism (Au)
5562,Fowler Road School,2160,Merrylands,Macquarie Park,Parramatta,Supporting students with mental health issues (ED Emotional Disturbance)
5577,Mian School,2830,Dubbo,Wagga Wagga,Macquarie,Supporting students with behavioural issues (BD)
5579,The Beach School,2100,Allambie ,Macquarie Park,The Beaches,Supporting students with mental health issues (ED Emotional Disturbance)
5579,The Beach School,2100,Allambie ,Macquarie Park,The Beaches,Supporting students with behavioural issues (BD)
5583,Verona School,2165,Fairfield East ,Ultimo,Auburn,Supporting students with mental health issues (ED Emotional Disturbance)
5583,Verona School,2165,Fairfield East ,Ultimo,Auburn,Supporting students with behavioural issues (BD)
5610,Carenne School,2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5610,Carenne School,2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5610,Carenne School,2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5625,Anson Street School,2800,Orange ,Wagga Wagga,Orange,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5625,Anson Street School,2800,Orange ,Wagga Wagga,Orange,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5625,Anson Street School,2800,Orange ,Wagga Wagga,Orange,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5630,Mainsbridge School,2170,Liverpool ,Ultimo,Liverpool,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5642,Halinda School,2770,Whalan,Macquarie Park,Mount Druitt,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5644,Para Meadows School,2500,North Wollongong ,Wagga Wagga,Wollongong,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5644,Para Meadows School,2500,North Wollongong ,Wagga Wagga,Wollongong,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5655,Clarke Road School,2077,Hornsby,Macquarie Park,Hornsby,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5675,Sir Eric Woodward Memorial School,2075,St Ives ,Macquarie Park,Pittwater,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5675,Sir Eric Woodward Memorial School,2075,St Ives ,Macquarie Park,Pittwater,Supporting students with autism (Au)
5675,Sir Eric Woodward Memorial School,2075,St Ives ,Macquarie Park,Pittwater,Supporting students with mild intellectual disability (IM)
5675,Sir Eric Woodward Memorial School,2075,St Ives ,Macquarie Park,Pittwater,Supporting students with severe intellectual disability (IS)
5675,Sir Eric Woodward Memorial School,2075,St Ives ,Macquarie Park,Pittwater,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5684,Tangara School,2575,Mittagong ,Ultimo,Wollondilly,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5685,G S Kidd Memorial School,2380,Gunnedah,Tamworth,Mooki,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5685,G S Kidd Memorial School,2380,Gunnedah,Tamworth,Mooki,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5686,Lakeside School,2290,Gateshead,Tamworth,Glenrock,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5686,Lakeside School,2290,Gateshead,Tamworth,Glenrock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5688,The Hills School,2152,Northmead ,Macquarie Park,Girraween,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5696,Sandon Public School,2350,Armidale ,Tamworth,Armidale,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5696,Sandon Public School,2350,Armidale ,Tamworth,Armidale,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5699,Kalinda School,2680,Griffith,Wagga Wagga,Griffith,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5703,Carinya School,2223,Mortdale ,Ultimo,Georges River,Supporting students with mental health issues (ED Emotional Disturbance)
5723,Five Islands School,2284,Booragul,Tamworth,Lake Macquarie West,Supporting students with severe intellectual disability (IS)
5723,Five Islands School,2284,Booragul,Tamworth,Lake Macquarie West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5749,Budawang School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5751,The Childrens Hospital School,2145,Westmead ,Macquarie Park,Parramatta,Supporting students with mental health issues (ED Emotional Disturbance)
5758,The Bidgee School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with behavioural issues (BD)
5758,The Bidgee School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with mental health issues (ED Emotional Disturbance)
5759,Canterbury Vale School,2195,Lakemba ,Ultimo,Chullora,Supporting students with behavioural issues (BD)
5759,Canterbury Vale School,2195,Lakemba ,Ultimo,Chullora,Supporting students with mental health issues (ED Emotional Disturbance)
5763,Coffs Harbour Learning Centre,2450,Boambee ,Tamworth,Coffs Harbour,Supporting students with behavioural issues (BD)
5765,The Ponds School,2769,The Ponds,Macquarie Park,The Ponds,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
7307,Orange Public School,2800,Orange ,Wagga Wagga,Orange,Supporting students with mild intellectual disability (IM)
7405,Bankstown Public School,2200,Bankstown ,Ultimo,Bankstown,Supporting students with mild intellectual disability (IM)
8101,Albury High School,2640,Albury ,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8102,Armidale High School,2350,Armidale ,Tamworth,Armidale,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8102,Armidale High School,2350,Armidale ,Tamworth,Armidale,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8108,Cessnock High School,2325,Cessnock ,Tamworth,Cessnock,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8108,Cessnock High School,2325,Cessnock ,Tamworth,Cessnock,Supporting students with mild intellectual disability (IM)
8108,Cessnock High School,2325,Cessnock ,Tamworth,Cessnock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8117,Grafton High School,2460,Grafton,Tamworth,Grafton,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8117,Grafton High School,2460,Grafton,Tamworth,Grafton,Supporting students with mild intellectual disability (IM)
8117,Grafton High School,2460,Grafton,Tamworth,Grafton,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8117,Grafton High School,2460,Grafton,Tamworth,Grafton,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8124,"The Rivers Secondary College, Lismore High Campus",2480,Lismore ,Tamworth,Lismore,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8124,"The Rivers Secondary College, Lismore High Campus",2480,Lismore ,Tamworth,Lismore,Supporting students with mild intellectual disability (IM)
8124,"The Rivers Secondary College, Lismore High Campus",2480,Lismore ,Tamworth,Lismore,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8127,Maitland Grossmann High School,2323,East Maitland,Tamworth,Maitland,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8127,Maitland Grossmann High School,2323,East Maitland,Tamworth,Maitland,Supporting students who are deaf or hearing impaired (H)
8129,Murwillumbah High School,2484,Murwillumbah ,Tamworth,Wollumbin,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4183,Budgewoi Public School,2262,Budgewoi,Macquarie Park,Tuggerah Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4196,Kempsey South Public School,2440,Kempsey ,Tamworth,Macleay Valley,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4208,Fennell Bay Public School,2283,Fennell Bay ,Tamworth,Lake Macquarie West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4208,Fennell Bay Public School,2283,Fennell Bay ,Tamworth,Lake Macquarie West,Supporting students with mild intellectual disability (IM)
4268,Griffith East Public School,2680,Griffith ,Wagga Wagga,Griffith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4285,Bennett Road Public School,2760,Colyton ,Macquarie Park,Eastern Creek,Supporting students with mental health issues (ED Emotional Disturbance)
4285,Bennett Road Public School,2760,Colyton ,Macquarie Park,Eastern Creek,Supporting students with mild intellectual disability (IM)
4285,Bennett Road Public School,2760,Colyton ,Macquarie Park,Eastern Creek,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4290,Mount Druitt Public School,2770,Mount Druitt,Macquarie Park,Eastern Creek,Supporting students with disability prior to school (EI Early Intervention)
4319,Sadleir Public School,2168,Sadleir ,Ultimo,Liverpool,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4319,Sadleir Public School,2168,Sadleir ,Ultimo,Liverpool,Supporting students with autism (Au)
4319,Sadleir Public School,2168,Sadleir ,Ultimo,Liverpool,Supporting students with mild intellectual disability (IM)
4348,Coleambally Central School,2707,Coleambally,Wagga Wagga,Narrandera,Supporting students with behavioural issues (BD)
4364,Toongabbie West Public School,2146,Toongabbie ,Macquarie Park,Girraween,Supporting students who are deaf or hearing impaired (H)
4372,Irrawang Public School,2324,Raymond Terrace ,Tamworth,Port Stephens,Supporting students with moderate intellectual disability (IO)
4372,Irrawang Public School,2324,Raymond Terrace ,Tamworth,Port Stephens,Supporting students with mental health issues (ED Emotional Disturbance)
4372,Irrawang Public School,2324,Raymond Terrace ,Tamworth,Port Stephens,Supporting students with mild intellectual disability (IM)
4382,Jasper Road Public School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4382,Jasper Road Public School,2153,Baulkham Hills ,Macquarie Park,The Hills,Supporting students with physical disability (P)
4394,Queanbeyan South Public School,2620,Queanbeyan ,Wagga Wagga,Queanbeyan,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4396,Busby West Public School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with autism (Au)
4396,Busby West Public School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4396,Busby West Public School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with mild intellectual disability (IM)
4396,Busby West Public School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with moderate intellectual disability (IO)
4396,Busby West Public School,2168,Green Valley ,Ultimo,Liverpool,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4397,Wyoming Public School,2250,Wyoming ,Macquarie Park,Central Coast,Supporting students with mild intellectual disability (IM)
4397,Wyoming Public School,2250,Wyoming ,Macquarie Park,Central Coast,Supporting students with autism (Au)
4397,Wyoming Public School,2250,Wyoming ,Macquarie Park,Central Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4398,Chertsey Primary School,2250,Springfield ,Macquarie Park,Brisbane Water,Supporting students with autism (Au)
4398,Chertsey Primary School,2250,Springfield ,Macquarie Park,Brisbane Water,Supporting students who are deaf or hearing impaired (H)
4398,Chertsey Primary School,2250,Springfield ,Macquarie Park,Brisbane Water,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4399,Hayes Park Public School,2530,Kanahooka,Wagga Wagga,Lake Illawarra North,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4407,Hume Public School,2641,Lavington ,Wagga Wagga,Albury,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4407,Hume Public School,2641,Lavington ,Wagga Wagga,Albury,Supporting students with disability prior to school (EI Early Intervention)
4409,Koonawarra Public School,2530,Dapto ,Wagga Wagga,Lake Illawarra North,Supporting students with mild intellectual disability (IM)
4409,Koonawarra Public School,2530,Dapto ,Wagga Wagga,Lake Illawarra North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4420,Nuwarra Public School,2170,Moorebank ,Ultimo,Chipping Norton,Supporting students who are deaf or hearing impaired (H)
4427,Niagara Park Public School,2250,Niagara Park ,Macquarie Park,Central Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4428,Southern Cross Public School,2478,East Ballina,Tamworth,Lennox Coast,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4428,Southern Cross Public School,2478,East Ballina,Tamworth,Lennox Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4428,Southern Cross Public School,2478,East Ballina,Tamworth,Lennox Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4452,Hobartville Public School,2753,Hobartville ,Macquarie Park,Hawkesbury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4460,Curran Public School,2564,Macquarie Fields ,Ultimo,Glenfield,Supporting students with moderate intellectual disability (IO)
4460,Curran Public School,2564,Macquarie Fields ,Ultimo,Glenfield,Supporting students with autism (Au)
4490,Campbellfield Public School,2566,Minto ,Ultimo,St Andrews,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4494,Hampden Park Public School,2195,Lakemba,Ultimo,Chullora,Supporting students with autism (Au)
4494,Hampden Park Public School,2195,Lakemba,Ultimo,Chullora,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4505,Ambarvale Public School,2560,Ambarvale ,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
4505,Ambarvale Public School,2560,Ambarvale ,Ultimo,Campbelltown,Supporting students with autism (Au)
4505,Ambarvale Public School,2560,Ambarvale ,Ultimo,Campbelltown,Supporting students with moderate intellectual disability (IO)
4517,Gorokan Public School,2263,Gorokan ,Macquarie Park,Tuggerah Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4531,St Clair Public School,2759,St Clair,Macquarie Park,Eastern Creek,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4537,Rosemeadow Public School,2560,Rosemeadow ,Ultimo,Camden,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4538,Bowen Public School,2800,Orange ,Wagga Wagga,Orange,Supporting students with mild intellectual disability (IM)
4538,Bowen Public School,2800,Orange ,Wagga Wagga,Orange,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4541,Werrington County Public School,2747,Werrington ,Macquarie Park,Cambridge Park,Supporting students with autism (Au)
4541,Werrington County Public School,2747,Werrington ,Macquarie Park,Cambridge Park,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4557,Sandy Beach Public School,2456,Sandy Beach ,Tamworth,Grafton,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4581,Frank Partridge VC Public School,2448,Nambucca Heads ,Tamworth,Mid Coast Valleys,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4581,Frank Partridge VC Public School,2448,Nambucca Heads ,Tamworth,Mid Coast Valleys,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4581,Frank Partridge VC Public School,2448,Nambucca Heads ,Tamworth,Mid Coast Valleys,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4588,Northlakes Public School,2262,San Remo,Macquarie Park,Tuggerah Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4588,Northlakes Public School,2262,San Remo,Macquarie Park,Tuggerah Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4600,Maryland Public School,2287,Maryland,Tamworth,Callaghan,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4602,William Bayldon Public School,2452,Sawtell ,Tamworth,Coffs Harbour,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4602,William Bayldon Public School,2452,Sawtell ,Tamworth,Coffs Harbour,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4602,William Bayldon Public School,2452,Sawtell ,Tamworth,Coffs Harbour,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4607,Centaur Public School,2486,Banora Point ,Tamworth,Tweed Coast,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4607,Centaur Public School,2486,Banora Point ,Tamworth,Tweed Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4607,Centaur Public School,2486,Banora Point ,Tamworth,Tweed Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4614,Windsor Park Public School,2756,South Windsor,Macquarie Park,Windsor,Supporting students with severe intellectual disability (IS)
4614,Windsor Park Public School,2756,South Windsor,Macquarie Park,Windsor,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4615,Caddies Creek Public School,2768,Glenwood,Macquarie Park,Quakers Hill,Supporting students with autism (Au)
4615,Caddies Creek Public School,2768,Glenwood,Macquarie Park,Quakers Hill,Supporting students with severe intellectual disability (IS)
4625,Currans Hill Public School,2567,Currans Hill ,Ultimo,Macarthur,Supporting students with autism (Au)
4625,Currans Hill Public School,2567,Currans Hill ,Ultimo,Macarthur,Supporting students with mild intellectual disability (IM)
4625,Currans Hill Public School,2567,Currans Hill ,Ultimo,Macarthur,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4631,Surveyors Creek Public School,2745,Glenmore Park,Ultimo,Penrith,Supporting students with autism (Au)
4631,Surveyors Creek Public School,2745,Glenmore Park,Ultimo,Penrith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4633,Jerrabomberra Public School,2619,Jerrabomberra ,Wagga Wagga,Queanbeyan,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4649,Tullimbar Public School,2527,Tullimbar,Wagga Wagga,Lake Illawarra South,Supporting students with autism (Au)
4649,Tullimbar Public School,2527,Tullimbar,Wagga Wagga,Lake Illawarra South,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4649,Tullimbar Public School,2527,Tullimbar,Wagga Wagga,Lake Illawarra South,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4651,Oran Park Public School,2570,Oran Park,Ultimo,Macarthur,Supporting students with mild intellectual disability (IM)
4651,Oran Park Public School,2570,Oran Park,Ultimo,Macarthur,Supporting students with autism (Au)
4651,Oran Park Public School,2570,Oran Park,Ultimo,Macarthur,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5407,Cromehurst School,2070,Lindfield ,Macquarie Park,The Forest,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5407,Cromehurst School,2070,Lindfield ,Macquarie Park,The Forest,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5459,Tallowood School,2155,Kellyville ,Macquarie Park,The Ponds,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5460,Green Square School,2017,Waterloo ,Ultimo,Botany Bay,Supporting students with behavioural issues (BD)
5460,Green Square School,2017,Waterloo ,Ultimo,Botany Bay,Supporting students with mental health issues (ED Emotional Disturbance)
5508,Beverley Park School,2560,Campbelltown ,Ultimo,Campbelltown,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5527,St George School,2217,Kogarah ,Ultimo,Kogarah,Supporting students with severe intellectual disability (IS)
5529,Broderick Gillawarna School,2212,Revesby ,Ultimo,Bankstown,Supporting students with moderate and students with severe intellectual disability (IO/IS)
